time,V_C.nT0,V_C.T0,V_C.nT1,V_C.T1,V_C.aPD1,V_C.aPDL1,V_C.aCTLA4,V_C.Th,V_C.cabozantinib,V_C.A_site1,V_C.A_site2,V_P.nT0,V_P.T0,V_P.nT1,V_P.T1,V_P.aPD1,V_P.aPDL1,V_P.aCTLA4,V_P.Th,V_P.cabozantinib,V_T.C_x,V_T.T1_exh,V_T.Th_exh,V_T.C1,V_T.K,V_T.c_vas,V_T.C2,V_T.T0,V_T.T1,V_T.IFNg,V_T.APC,V_T.mAPC,V_T.P0,V_T.P1,V_T.aPD1,V_T.aPDL1,V_T.aCTLA4,V_T.Th,V_T.TGFb,V_T.MDSC,V_T.NO,V_T.ArgI,V_T.CCL2,V_T.cabozantinib,V_T.Mac_M1,V_T.Mac_M2,V_T.IL12,V_T.IL10,V_T.Fib,V_T.CAF,V_T.ECM,V_LN.nT0,V_LN.aT0,V_LN.T0,V_LN.IL2,V_LN.nT1,V_LN.aT1,V_LN.T1,V_LN.APC,V_LN.mAPC,V_LN.aPD1,V_LN.aPDL1,V_LN.aCTLA4,V_LN.aTh,V_LN.Th,V_LN.cabozantinib,V_e.P0,V_e.p0,V_e.P1,V_e.p1,A_e.M1,A_e.M1p0,A_e.M1p1,A_s.M1,A_s.M1p0,A_s.M1p1,syn_T_C1.PD1_PDL1,syn_T_C1.PD1_PDL2,syn_T_C1.PD1,syn_T_C1.PDL1,syn_T_C1.PDL2,syn_T_C1.PD1_aPD1,syn_T_C1.PD1_aPD1_PD1,syn_T_C1.PDL1_aPDL1,syn_T_C1.PDL1_aPDL1_PDL1,syn_T_C1.TPDL1,syn_T_C1.TPDL1_aPDL1,syn_T_C1.TPDL1_aPDL1_TPDL1,syn_T_C1.CD28_CD80,syn_T_C1.CD28_CD80_CD28,syn_T_C1.CD28_CD86,syn_T_C1.CD80_CTLA4,syn_T_C1.CD80_CTLA4_CD80,syn_T_C1.CTLA4_CD80_CTLA4,syn_T_C1.CD80_CTLA4_CD80_CTLA4,syn_T_C1.CD86_CTLA4,syn_T_C1.CD86_CTLA4_CD86,syn_T_C1.PDL1_CD80,syn_T_C1.PDL1_CD80_CD28,syn_T_C1.PDL1_CD80_CTLA4,syn_T_C1.CD28,syn_T_C1.CTLA4,syn_T_C1.CD80,syn_T_C1.CD80m,syn_T_C1.CD86,syn_T_C1.CTLA4_aCTLA4,syn_T_C1.CTLA4_aCTLA4_CTLA4,syn_T_APC.PD1_PDL1,syn_T_APC.PD1_PDL2,syn_T_APC.PD1,syn_T_APC.PDL1,syn_T_APC.PDL2,syn_T_APC.PD1_aPD1,syn_T_APC.PD1_aPD1_PD1,syn_T_APC.PDL1_aPDL1,syn_T_APC.PDL1_aPDL1_PDL1,syn_T_APC.TPDL1,syn_T_APC.TPDL1_aPDL1,syn_T_APC.TPDL1_aPDL1_TPDL1,syn_T_APC.CD28_CD80,syn_T_APC.CD28_CD80_CD28,syn_T_APC.CD28_CD86,syn_T_APC.CD80_CTLA4,syn_T_APC.CD80_CTLA4_CD80,syn_T_APC.CTLA4_CD80_CTLA4,syn_T_APC.CD80_CTLA4_CD80_CTLA4,syn_T_APC.CD86_CTLA4,syn_T_APC.CD86_CTLA4_CD86,syn_T_APC.PDL1_CD80,syn_T_APC.PDL1_CD80_CD28,syn_T_APC.PDL1_CD80_CTLA4,syn_T_APC.CD28,syn_T_APC.CTLA4,syn_T_APC.CD80,syn_T_APC.CD80m,syn_T_APC.CD86,syn_T_APC.CTLA4_aCTLA4,syn_T_APC.CTLA4_aCTLA4_CTLA4,syn_M_C.CD47,syn_M_C.SIRPa,syn_M_C.CD47_SIRPa,syn_M_C.PD1_PDL1,syn_M_C.PD1_PDL2,syn_M_C.PD1,syn_M_C.PDL1,syn_M_C.PDL2,syn_M_C.PD1_aPD1,syn_M_C.PD1_aPD1_PD1,syn_M_C.PDL1_aPDL1,syn_M_C.PDL1_aPDL1_PDL1,syn_M_C.PDL1_CD80,syn_M_C.CD80,syn_M_C.CD80m,syn_M_C.PDL1_total,syn_M_C.PDL2_total
0,1956.36,28963.3,1872.29,1.19955e+07,0,0,0,4.15374e+06,0,0,0,97455.4,4.236e+06,93272.5,1.75325e+09,0,0,0,6.07106e+08,0,3.80823e+07,6.49465e+08,1.21419e+08,1.96818e+10,6.16797e+11,2146.53,1.47147e+09,4.34072e+08,5.18495e+08,0.000746723,250983,63764.8,4.91725e-10,5.9007e-10,0,0,0,1.26163e+09,0.0777824,2.48734e+07,1.34859,0.240849,0.38072,0,2.96948e+08,2.91143e+08,0.00409462,0.00332982,1.03561e+08,4.17762e+08,27426.7,21.9236,704.276,3866.32,0.603832,8.8743,186911,2.75211e+06,1.33518e+06,8.18105e+06,0,0,0,173629,952806,0,4.11136e-10,4.7566e-11,4.93363e-10,5.70783e-11,605.081,0.000144477,0.000173449,20.1696,0.0166261,6.1589,112.638,11.6724,60.0789,27.7747,0.807308,6.43791e-24,2.67612e-18,2.39955e-26,4.61123e-20,553.167,0,0,3.23599,65.3134,753.793,0.0254739,0.00134563,0.00404741,0.000855202,4.79275,47.6328,0.908471,36.6721,0.288684,291.714,0.12056,0.0400824,1.11094,93.3677,0,0,138.964,18.1667,27.2586,75.5241,2.76932,8.58135e-25,1.61844e-19,6.78289e-26,3.54436e-19,553.167,0,0,2.2261,43.8467,759.543,0.0167929,0.000625309,0.00249516,0.000371645,4.62784,47.4899,2.07905,81.9008,0.61783,284.68,0.112745,0.0282548,0.934993,96.4047,0,0,300.951,0.95136,99.0486,5.75985,2.31579,0.946756,90.1279,10.1639,0,0,0,0,82.3942,31.3915,31.0504,178.282,12.4797
1,1956.37,28779.6,1872.29,1.19623e+07,259.731,0,0,4.14356e+06,95.2989,11775.2,6049.49,97456,4.20914e+06,93272.6,1.74839e+09,1.24522,0,0,6.05618e+08,0.0125017,4.25531e+07,6.40175e+08,1.21538e+08,1.97295e+10,6.00781e+11,2146.34,1.47588e+09,4.3449e+08,5.28058e+08,0.000748622,251671,63941,4.77497e-09,5.72997e-09,6.54384,0,0,1.2627e+09,0.0776887,2.49438e+07,1.34887,0.240863,0.380739,0.493309,2.97812e+08,2.91939e+08,0.00409523,0.00332988,1.03857e+08,4.18765e+08,27489.6,21.9258,702.598,3857.17,0.603808,8.87534,186909,2.75211e+06,1.33518e+06,8.20394e+06,2.64125,0,0,173625,952808,0.483712,3.8157e-09,4.38856e-10,4.57884e-09,5.2662e-10,605.122,0.00125404,0.00150544,20.171,0.0166418,6.15678,0.38821,0.137106,0.0461827,124.528,12.3358,0.287187,91.7654,5.35193e-27,4.61122e-20,553.167,0,0,2.89685,58.3422,753.793,0.0227102,0.00107618,0.0035859,0.000679708,4.77326,47.5416,1.28063,51.5829,0.404403,291.085,0.119811,0.0359566,0.349316,93.5695,0,0,0.618996,0.224098,0.0449874,203.835,20.6985,0.294298,91.6036,2.51317e-26,3.54436e-19,553.167,0,0,2.00476,39.4261,759.519,0.0150826,0.000506539,0.00223171,0.000299802,4.61551,47.4351,2.32447,91.4271,0.687872,284.24,0.112274,0.0254831,0.387335,96.5507,0,0,300.951,0.95136,99.0486,0.0640606,0.0303452,0.0101338,93.649,12.4426,0.0631453,4.42736,0,0,84.4715,30.5599,30.6363,178.185,12.4729
2,1956.38,28597,1872.29,1.19286e+07,242.438,0,0,4.13194e+06,88.552,10880,5964.21,97456.6,4.18244e+06,93272.7,1.74347e+09,2.35503,0,0,6.0392e+08,0.0116166,4.82762e+07,6.28284e+08,1.21656e+08,1.97758e+10,5.84988e+11,2145.89,1.48021e+09,4.34908e+08,5.40511e+08,0.000755796,252353,64115.5,4.95179e-09,5.94215e-09,8.29042,0,0,1.26376e+09,0.0775984,2.50143e+07,1.34917,0.24088,0.380728,0.458384,2.98683e+08,2.92732e+08,0.00409592,0.00333016,1.04152e+08,4.19771e+08,27552.7,21.9275,701.027,3848.43,0.603807,8.87633,186906,2.75208e+06,1.33518e+06,8.22689e+06,3.3053,0,0,173621,952783,0.449466,4.09256e-09,4.72826e-10,4.91107e-09,5.67382e-10,605.16,0.00142253,0.00170777,20.1723,0.0167469,6.15476,0.310584,0.121653,0.0409086,112.473,12.3568,0.324319,91.796,5.92557e-27,4.61122e-20,553.167,0,0,2.60498,52.4719,753.955,0.0203823,0.000868427,0.00321251,0.000547502,4.76495,47.4619,1.57402,63.4101,0.496159,291.129,0.119595,0.0323293,0.475348,93.5756,0,0,0.530017,0.199871,0.0400693,195.958,20.7271,0.330566,91.6445,2.61419e-26,3.54436e-19,553.167,0,0,1.80949,35.5866,759.614,0.0135961,0.000412134,0.00200922,0.000243619,4.61017,47.3852,2.52206,99.2007,0.745403,284.246,0.112132,0.0230006,0.43715,96.5608,0,0,300.951,0.95136,99.0486,0.0568141,0.0269159,0.00898222,93.7039,12.4516,0.0712697,4.42921,0,0,84.5033,30.5472,30.6298,178.264,12.4785
3,1956.39,28415.6,1872.29,1.18955e+07,226.88,0,0,4.12133e+06,82.3089,10052.9,5880.12,97457.2,4.1559e+06,93272.8,1.73864e+09,3.34351,0,0,6.02369e+08,0.0107976,5.40799e+07,6.16738e+08,1.21774e+08,1.98223e+10,5.69707e+11,2145.42,1.48452e+09,4.35324e+08,5.52908e+08,0.000763765,253033,64288.5,5.12203e-09,6.14644e-09,8.46809,0,0,1.26482e+09,0.0775079,2.50849e+07,1.34946,0.240897,0.380695,0.426067,2.99562e+08,2.93522e+08,0.0040967,0.00333046,1.04445e+08,4.20778e+08,27615.9,21.9291,699.594,3840.42,0.603806,8.87731,186904,2.75204e+06,1.33518e+06,8.2499e+06,3.36616,0,0,173617,952758,0.417778,4.23679e-09,4.89539e-10,5.08414e-09,5.87437e-10,605.197,0.00147432,0.00176995,20.1735,0.016861,6.15275,0.282683,0.120483,0.0404535,103.521,12.3757,0.328013,91.8089,6.43799e-27,4.61122e-20,553.167,0,0,2.38382,48.0247,754.081,0.018625,0.000726073,0.00293178,0.000457167,4.75887,47.4017,1.7957,72.3526,0.565316,291.176,0.119441,0.0295801,0.589181,93.5761,0,0,0.508384,0.198155,0.0396772,189.818,20.7522,0.33387,91.6547,2.69875e-26,3.54436e-19,553.167,0,0,1.65143,32.4789,759.691,0.0123958,0.000342921,0.00182998,0.000202501,4.60588,47.3449,2.68191,105.491,0.791849,284.252,0.112019,0.0209912,0.479891,96.5685,0,0,300.951,0.95136,99.0486,0.0562828,0.026657,0.00888301,93.8646,12.4696,0.0720664,4.42925,0,0,84.5965,30.5099,30.6111,178.517,12.4962
4,1956.41,28235.3,1872.3,1.18621e+07,212.867,0,0,4.1088e+06,76.5336,9288.7,5797.23,97457.8,4.12954e+06,93272.9,1.73375e+09,4.22322,0,0,6.00537e+08,0.01004,5.9961e+07,6.0554e+08,1.21891e+08,1.98688e+10,5.54932e+11,2144.95,1.48883e+09,4.3574e+08,5.65239e+08,0.000771765,253710,64460.6,5.29085e-09,6.34902e-09,8.15861,0,0,1.26588e+09,0.0774172,2.51557e+07,1.34975,0.240916,0.380647,0.396172,3.00448e+08,2.94307e+08,0.00409755,0.00333074,1.04737e+08,4.21787e+08,27679.2,21.9306,698.3,3833.19,0.603805,8.87828,186902,2.752e+06,1.33518e+06,8.27297e+06,3.24021,0,0,173612,952732,0.388464,4.37768e-09,5.05834e-10,5.25321e-09,6.06991e-10,605.235,0.00152376,0.0018293,20.1748,0.0169807,6.15076,0.270814,0.122954,0.0412053,97.3651,12.3991,0.322054,91.8162,6.84502e-27,4.61122e-20,553.167,0,0,2.22694,44.8708,754.173,0.0173821,0.000632944,0.00273379,0.000398187,4.75469,47.3589,1.95256,78.684,0.614172,291.217,0.119339,0.02763,0.681142,93.5741,0,0,0.505342,0.202246,0.040431,185.164,20.7858,0.327652,91.6569,2.76658e-26,3.54436e-19,553.167,0,0,1.525,29.993,759.753,0.0114374,0.000292181,0.00168715,0.0001724,4.60247,47.3127,2.80972,110.52,0.828924,284.258,0.11193,0.0193839,0.515395,96.5743,0,0,300.951,0.95136,99.0486,0.0574716,0.0272076,0.00904817,94.0977,12.4949,0.0707462,4.42896,0,0,84.7315,30.456,30.584,178.887,12.5221
5,1956.42,28056.2,1872.3,1.18307e+07,200.236,0,0,4.09875e+06,166.489,20357.8,11765,97458.4,4.10334e+06,93273,1.72916e+09,5.00535,0,0,5.99068e+08,0.0218408,6.59184e+07,5.94685e+08,1.22009e+08,1.9912e+10,5.39858e+11,2144.43,1.49315e+09,4.36155e+08,5.77501e+08,0.000779738,254383,64631.9,5.45941e-09,6.5513e-09,7.72219,0,0,1.26693e+09,0.0773321,2.52267e+07,1.3502,0.240938,0.380586,0.861823,3.01341e+08,2.95089e+08,0.00409851,0.00333111,1.05028e+08,4.22799e+08,27742.6,21.9321,697.149,3826.72,0.603804,8.87925,186900,2.75196e+06,1.33518e+06,8.29609e+06,3.06609,0,0,173608,952705,0.845057,4.51813e-09,5.22075e-10,5.42176e-09,6.2648e-10,605.272,0.00157296,0.00188837,20.176,0.0171058,6.14877,0.26715,0.126645,0.0423496,93.4529,12.4262,0.313365,91.8199,7.13157e-27,4.61122e-20,553.167,0,0,2.12228,42.7666,754.235,0.0165545,0.000574417,0.00260218,0.000361169,4.75195,47.3305,2.05703,82.9031,0.64668,291.249,0.119273,0.0263288,0.747622,93.5716,0,0,0.509785,0.208301,0.0415584,181.725,20.8273,0.318759,91.6555,2.81894e-26,3.54435e-19,553.167,0,0,1.42483,28.0234,759.803,0.0106792,0.000254888,0.00157431,0.000150301,4.59978,47.2872,2.91097,114.505,0.858254,284.264,0.111859,0.0181104,0.544072,96.5787,0,0,300.951,0.95136,99.0486,0.0592412,0.0280299,0.00929931,94.3755,12.5248,0.0688284,4.4285,0,0,84.8921,30.3918,30.5518,179.327,12.5529
6,1956.43,27878.4,1872.3,1.1798e+07,188.844,0,0,4.08729e+06,154.799,18810.1,11599.1,97459,4.07733e+06,93273.1,1.72438e+09,5.69996,0,0,5.97392e+08,0.0203072,7.19515e+07,5.84165e+08,1.22126e+08,1.99552e+10,5.25194e+11,2143.89,1.49746e+09,4.3657e+08,5.8969e+08,0.000787658,255049,64801.2,5.62772e-09,6.75326e-09,7.2762,0,0,1.26798e+09,0.0772495,2.52978e+07,1.35067,0.240961,0.380515,0.801307,3.0224e+08,2.95867e+08,0.00409962,0.00333161,1.05316e+08,4.23812e+08,27806.1,21.9336,696.14,3821.05,0.603803,8.88022,186898,2.75191e+06,1.33518e+06,8.31927e+06,2.88887,0,0,173603,952677,0.785719,4.6584e-09,5.38296e-10,5.59009e-09,6.45944e-10,605.309,0.00162212,0.00194739,20.1773,0.0172364,6.14678,0.268432,0.130772,0.0436256,91.1547,12.4559,0.304203,91.8212,7.31137e-27,4.61121e-20,553.167,0,0,2.05548,41.4235,754.275,0.0160268,0.00053857,0.00251838,0.000338512,4.75022,47.3123,2.12366,85.5949,0.6674,291.27,0.119232,0.0254985,0.791295,93.5698,0,0,0.518016,0.215071,0.0428109,179.257,20.8751,0.309422,91.6521,2.85775e-26,3.54435e-19,553.167,0,0,1.34598,26.473,759.841,0.0100832,0.000227342,0.0014857,0.000133991,4.59766,47.2671,2.99067,117.642,0.881313,284.268,0.111803,0.0171081,0.566663,96.5822,0,0,300.951,0.95136,99.0486,0.0612215,0.0289494,0.00957924,94.6802,12.5577,0.0668083,4.42792,0,0,85.0677,30.3217,30.5165,179.809,12.5866
7,1956.44,27701.8,1872.3,1.17631e+07,178.564,0,0,4.07443e+06,143.981,17380.2,11435.6,97459.6,4.05149e+06,93273.3,1.71927e+09,6.31607,0,0,5.95513e+08,0.0188881,7.80599e+07,5.73974e+08,1.22242e+08,1.99985e+10,5.10982e+11,2143.35,1.50177e+09,4.36984e+08,6.01801e+08,0.000795475,255710,64968.7,5.79576e-09,6.95491e-09,6.85636,0,0,1.26902e+09,0.0771666,2.5369e+07,1.35112,0.240988,0.380435,0.745311,3.03145e+08,2.96642e+08,0.00410086,0.00333211,1.05602e+08,4.24827e+08,27869.7,21.935,695.276,3816.16,0.603801,8.88118,186896,2.75187e+06,1.33518e+06,8.3425e+06,2.72227,0,0,173599,952648,0.730812,4.79864e-09,5.54514e-10,5.75836e-09,6.65406e-10,605.346,0.00167138,0.00200652,20.1785,0.0173725,6.14481,0.272758,0.135047,0.0449397,89.9155,12.4869,0.295307,91.8207,7.41213e-27,4.61121e-20,553.167,0,0,2.0137,40.5832,754.3,0.015697,0.000516742,0.00246601,0.000324722,4.74913,47.3009,2.16537,87.2797,0.680359,291.283,0.119206,0.0249792,0.817952,93.5687,0,0,0.528518,0.222094,0.0440988,177.55,20.9272,0.300369,91.6472,2.88523e-26,3.54435e-19,553.167,0,0,1.28414,25.257,759.872,0.00961609,0.000206848,0.00141633,0.000121864,4.596,47.2514,3.05318,120.102,0.899386,284.271,0.11176,0.016322,0.58407,96.585,0,0,300.951,0.95136,99.0486,0.0632753,0.0299017,0.00986735,94.9993,12.5921,0.0648479,4.42725,0,0,85.2512,30.2484,30.4796,180.314,12.622
8,1956.46,27526.5,1872.31,1.17311e+07,169.283,0,0,4.06212e+06,133.973,16058.9,11274.4,97460.2,4.02585e+06,93273.4,1.7146e+09,6.86176,0,0,5.93712e+08,0.0175751,8.42437e+07,5.64102e+08,1.22359e+08,2.00421e+10,4.97213e+11,2142.8,1.50606e+09,4.37397e+08,6.13839e+08,0.000803186,256368,65135.2,5.96361e-09,7.15634e-09,6.47165,0,0,1.27005e+09,0.0770831,2.54404e+07,1.35157,0.241016,0.38035,0.693502,3.04056e+08,2.97415e+08,0.00410221,0.00333257,1.05887e+08,4.25844e+08,27933.4,21.9364,694.559,3812.07,0.603799,8.88214,186894,2.75183e+06,1.33518e+06,8.36579e+06,2.56968,0,0,173594,952618,0.680012,4.93847e-09,5.70683e-10,5.92617e-09,6.84809e-10,605.382,0.00172036,0.00206532,20.1797,0.0175139,6.14284,0.278899,0.139351,0.0462547,89.326,12.5186,0.286906,91.819,7.46104e-27,4.61121e-20,553.167,0,0,1.98739,40.0539,754.315,0.0154893,0.000503233,0.00243303,0.000316187,4.74843,47.2938,2.19168,88.3423,0.688527,291.29,0.119189,0.0246523,0.833353,93.5684,0,0,0.540522,0.22918,0.0453868,176.429,20.9821,0.291826,91.6413,2.90354e-26,3.54435e-19,553.167,0,0,1.23565,24.3035,759.895,0.00925012,0.000191462,0.001362,0.000112765,4.59469,47.2391,3.10222,122.032,0.913549,284.273,0.111725,0.0157056,0.597217,96.5873,0,0,300.951,0.95136,99.0486,0.0653462,0.0308606,0.0101555,95.3245,12.6271,0.0629972,4.42652,0,0,85.4376,30.1739,30.442,180.827,12.6579
9,1956.47,27352.5,1872.31,1.16993e+07,160.898,0,0,4.05081e+06,220.011,26613.3,17164.9,97460.8,4.00039e+06,93273.5,1.70995e+09,7.34429,0,0,5.9206e+08,0.0288619,9.05024e+07,5.54542e+08,1.22475e+08,2.00827e+10,4.8352e+11,2142.21,1.51037e+09,4.3781e+08,6.25803e+08,0.000810843,257022,65300.8,6.1315e-09,7.3578e-09,6.12263,0,0,1.27108e+09,0.0770045,2.55119e+07,1.35216,0.241048,0.38026,1.13887,3.04972e+08,2.98184e+08,0.0041037,0.0033331,1.0617e+08,4.26863e+08,27997.2,21.9378,693.989,3808.79,0.603797,8.8831,186892,2.75178e+06,1.33518e+06,8.38912e+06,2.43127,0,0,173589,952587,1.11672,5.07844e-09,5.86869e-10,6.09412e-09,7.04231e-10,605.418,0.00176947,0.00212428,20.1809,0.0176607,6.14089,0.286065,0.143628,0.0475537,89.1181,12.5504,0.279061,91.8165,7.47844e-27,4.6112e-20,553.167,0,0,1.97026,39.7092,754.325,0.0153542,0.000494537,0.00241156,0.000310692,4.74796,47.2891,2.20886,89.0358,0.693854,291.293,0.119177,0.0244396,0.841843,93.5685,0,0,0.553549,0.236236,0.0466584,175.757,21.0386,0.283852,91.6346,2.91465e-26,3.54435e-19,553.167,0,0,1.19753,23.5538,759.914,0.00896252,0.000179786,0.00131933,0.000105862,4.59366,47.2294,3.1408,123.55,0.924682,284.274,0.111698,0.0152211,0.606956,96.5893,0,0,300.951,0.95136,99.0486,0.0674072,0.0318134,0.0104401,95.651,12.6622,0.0612694,4.42573,0,0,85.6243,30.0994,30.4044,181.343,12.694
