x,y,z,ECM_density,Fib_field
0,0,0,2029.99,0.326029
0,0,1,2206.5,0.358963
0,0,2,2296.69,0.370615
0,0,3,2308.15,0.365149
0,0,4,2257.97,0.34994
0,0,5,2168.61,0.331353
0,0,6,2062.61,0.311748
0,0,7,1956.48,0.289931
0,0,8,1857.31,0.26352
0,0,9,1764.49,0.231721
0,0,10,1675.2,0.1968
0,0,11,1588.71,0.162949
0,0,12,1509.79,0.134964
0,0,13,1444.5,0.114933
0,0,14,1398.16,0.102208
0,0,15,1372.12,0.0942718
0,0,16,1362.99,0.0885325
0,0,17,1364.98,0.0837801
0,0,18,1371.51,0.0798271
0,0,19,1377.32,0.0771659
0,0,20,1378.4,0.0758962
0,0,21,1372.41,0.076057
0,0,22,1358.12,0.0778632
0,0,23,1335.97,0.0822231
0,0,24,1307.92,0.0903539
0,0,25,1276.95,0.102954
0,0,26,1245.88,0.119336
0,0,27,1216.1,0.13765
0,0,28,1186.86,0.155047
0,0,29,1155.99,0.168907
0,0,30,1121.42,0.177666
0,0,31,1082.29,0.181142
0,0,32,1039.88,0.180214
0,0,33,997.166,0.176235
0,0,34,957.606,0.17082
0,0,35,923.61,0.165435
0,0,36,895.419,0.161437
0,0,37,871.748,0.159326
0,0,38,850.04,0.158793
0,0,39,829.234,0.159178
0,0,40,809.447,0.159725
0,0,41,794.673,0.161151
0,0,42,790.755,0.165187
0,0,43,802.719,0.173431
0,0,44,831.429,0.186028
0,0,45,870.925,0.200571
0,0,46,908.653,0.212316
0,0,47,929.156,0.215817
0,0,48,919.254,0.20694
0,0,49,873.182,0.184881
0,1,0,2185.05,0.384864
0,1,1,2372.22,0.425133
0,1,2,2469.38,0.440492
0,1,3,2485.64,0.435334
0,1,4,2438.46,0.41776
0,1,5,2349.97,0.394833
0,1,6,2242.27,0.36933
0,1,7,2131.88,0.340329
0,1,8,2026.53,0.305849
0,1,9,1926.62,0.265789
0,1,10,1830.44,0.223296
0,1,11,1738.25,0.183286
0,1,12,1655.57,0.150957
0,1,13,1588.91,0.128249
0,1,14,1543.44,0.113999
0,1,15,1520.04,0.105108
0,1,16,1514.48,0.0985671
0,1,17,1520.08,0.0930331
0,1,18,1529.47,0.0883851
0,1,19,1536.85,0.0852577
0,1,20,1537.93,0.0839286
0,1,21,1530.34,0.0845744
0,1,22,1513.09,0.0875363
0,1,23,1487.3,0.0938032
0,1,24,1455.77,0.104543
0,1,25,1422.26,0.120197
0,1,26,1389.87,0.139629
0,1,27,1359.51,0.160458
0,1,28,1329.38,0.17936
0,1,29,1296.16,0.193523
0,1,30,1257.04,0.2015
0,1,31,1211.18,0.203562
0,1,32,1160.56,0.201216
0,1,33,1109.24,0.196427
0,1,34,1061.58,0.191233
0,1,35,1020.5,0.187208
0,1,36,986.22,0.185467
0,1,37,957.245,0.185978
0,1,38,930.801,0.18781
0,1,39,905.958,0.189841
0,1,40,883.137,0.191161
0,1,41,866.621,0.192733
0,1,42,862.241,0.196732
0,1,43,874.513,0.205138
0,1,44,903.377,0.218195
0,1,45,941.808,0.233226
0,1,46,976.409,0.244954
0,1,47,991.343,0.247345
0,1,48,973.567,0.23589
0,1,49,917.943,0.209825
0,2,0,2259.59,0.424296
0,2,1,2453.83,0.47054
0,2,2,2557.23,0.489713
0,2,3,2579.51,0.48601
0,2,4,2538,0.467555
0,2,5,2453.97,0.441469
0,2,6,2348.48,0.410669
0,2,7,2237.6,0.37468
0,2,8,2129.56,0.332385
0,2,9,2026.06,0.284833
0,2,10,1926.92,0.236215
0,2,11,1833.59,0.192014
0,2,12,1752.02,0.157401
0,2,13,1688.58,0.133817
0,2,14,1647.64,0.119388
0,2,15,1629.16,0.110458
0,2,16,1628.07,0.103723
0,2,17,1637.12,0.0978079
0,2,18,1648.68,0.0927442
0,2,19,1656.87,0.0893336
0,2,20,1657.44,0.0880846
0,2,21,1648.14,0.0893492
0,2,22,1628.34,0.0935941
0,2,23,1599.73,0.101801
0,2,24,1565.92,0.114931
0,2,25,1531.35,0.133024
0,2,26,1499.22,0.154435
0,2,27,1469.9,0.176312
0,2,28,1440.39,0.19505
0,2,29,1406.18,0.207925
0,2,30,1363.73,0.213863
0,2,31,1312.21,0.213774
0,2,32,1254.25,0.209879
0,2,33,1194.94,0.204719
0,2,34,1139.47,0.2006
0,2,35,1091.33,0.198978
0,2,36,1050.9,0.200436
0,2,37,1016.73,0.204207
0,2,38,986.136,0.208651
0,2,39,958.466,0.212251
0,2,40,934.366,0.214114
0,2,41,917.92,0.215565
0,2,42,914.207,0.219235
0,2,43,926.546,0.227419
0,2,44,953.69,0.240395
0,2,45,987.953,0.255283
0,2,46,1016.04,0.266486
0,2,47,1022.88,0.26767
0,2,48,996.524,0.254178
0,2,49,932.914,0.225322
0,3,0,2265.24,0.440436
0,3,1,2464.46,0.490644
0,3,2,2574.03,0.513307
0,3,3,2603.47,0.512057
0,3,4,2569.46,0.494365
0,3,5,2492.09,0.466782
0,3,6,2391.13,0.432065
0,3,7,2282.01,0.390284
0,3,8,2173.53,0.341522
0,3,9,2069,0.288279
0,3,10,1970.04,0.235841
0,3,11,1879.28,0.190043
0,3,12,1802.78,0.155633
0,3,13,1746.17,0.133258
0,3,14,1712.39,0.120209
0,3,15,1700.15,0.112337
0,3,16,1703.63,0.106168
0,3,17,1715.41,0.100403
0,3,18,1728.09,0.0953063
0,3,19,1736.18,0.0918762
0,3,20,1735.79,0.0908814
0,3,21,1724.95,0.0928609
