time,agentCount.CD8.effector,agentCount.CD8.cytotoxic,agentCount.CD8.suppressed,agentCount.Th.default,agentCount.Treg.default,agentCount.MDSC.default,agentCount.cancerCell.Stem,agentCount.cancerCell.Progenitor,agentCount.cancerCell.Senescent,agentCount.mac.M1,agentCount.mac.M2,agentCount.vas.tip,agentCount.vas.phalanx,agentCount.vas.default,agentCount.fib.normal,agentCount.fib.CAFs,agentCount.APC.native,agentCount.APC.mature,recruit.CD8.effector,recruit.CD8.cytotoxic,recruit.CD8.suppressed,recruit.Th.default,recruit.Treg.default,recruit.MDSC.default,recruit.cancerCell.Stem,recruit.cancerCell.Progenitor,recruit.cancerCell.Senescent,recruit.mac.M1,recruit.mac.M2,recruit.vas.tip,recruit.vas.phalanx,recruit.vas.default,recruit.fib.normal,recruit.fib.CAFs,recruit.APC.native,recruit.APC.mature,prolif.CD8.effector,prolif.CD8.cytotoxic,prolif.CD8.suppressed,prolif.Th.default,prolif.Treg.default,prolif.MDSC.default,prolif.cancerCell.Stem,prolif.cancerCell.Progenitor,prolif.cancerCell.Senescent,prolif.mac.M1,prolif.mac.M2,prolif.vas.tip,prolif.vas.phalanx,prolif.vas.default,prolif.fib.normal,prolif.fib.CAFs,prolif.APC.native,prolif.APC.mature,death.CD8.effector,death.CD8.cytotoxic,death.CD8.suppressed,death.Th.default,death.Treg.default,death.MDSC.default,death.cancerCell.Stem,death.cancerCell.Progenitor,death.cancerCell.Senescent,death.mac.M1,death.mac.M2,death.vas.tip,death.vas.phalanx,death.vas.default,death.fib.normal,death.fib.CAFs,death.APC.native,death.APC.mature,move.CD8.effector,move.CD8.cytotoxic,move.CD8.suppressed,move.Th.default,move.Treg.default,move.MDSC.default,move.cancerCell.Stem,move.cancerCell.Progenitor,move.cancerCell.Senescent,move.mac.M1,move.mac.M2,move.vas.tip,move.vas.phalanx,move.vas.default,move.fib.normal,move.fib.CAFs,move.APC.native,move.APC.mature,drop_in.CD8.effector,drop_in.CD8.cytotoxic,drop_in.CD8.suppressed,drop_in.Th.default,drop_in.Treg.default,drop_in.MDSC.default,drop_in.cancerCell.Stem,drop_in.cancerCell.Progenitor,drop_in.cancerCell.Senescent,drop_in.mac.M1,drop_in.mac.M2,drop_in.vas.tip,drop_in.vas.phalanx,drop_in.vas.default,drop_in.fib.normal,drop_in.fib.CAFs,drop_in.APC.native,drop_in.APC.mature,drop_out.CD8.effector,drop_out.CD8.cytotoxic,drop_out.CD8.suppressed,drop_out.Th.default,drop_out.Treg.default,drop_out.MDSC.default,drop_out.cancerCell.Stem,drop_out.cancerCell.Progenitor,drop_out.cancerCell.Senescent,drop_out.mac.M1,drop_out.mac.M2,drop_out.vas.tip,drop_out.vas.phalanx,drop_out.vas.default,drop_out.fib.normal,drop_out.fib.CAFs,drop_out.APC.native,drop_out.APC.mature,PDL1_frac
0,9,1671,176,3090,1120,139,174,45795,20059,1111,672,6,0,110,0,7445,0,0,390,0,0,145,0,18,0,0,0,506,0,0,0,0,0,0,0,0,0,1615,0,3501,768,0,29,264616,0,0,0,6,0,80,0,0,0,0,15,124,10,347,116,32,14,735,242263,173,322,0,0,0,0,0,0,0,13086,212766,19063,699552,234939,13610,17199,766370,374537,62119,97087,80,0,0,11402,102279,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67950
1,9,1763,185,3078,1137,138,175,44097,22949,1126,662,6,0,113,0,7445,0,0,398,0,0,145,0,18,0,0,0,519,0,0,0,0,0,0,0,0,0,1716,0,3517,772,0,30,270649,0,0,0,6,0,83,0,0,0,0,15,131,11,356,122,33,14,768,247071,178,325,0,0,0,0,0,0,0,13090,212955,19089,699873,235053,13654,17291,786183,383384,62451,97309,83,0,0,11402,102462,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147
2,9,1854,193,3094,1142,138,175,43973,22657,1128,658,6,0,115,0,7445,0,0,407,0,0,148,0,18,0,0,0,528,0,0,0,0,0,0,0,0,0,1818,0,3556,775,0,30,276226,0,0,0,6,0,85,0,0,0,0,15,143,11,372,130,33,14,899,252933,186,328,0,0,0,0,0,0,0,13248,222841,20057,715531,240645,13940,17679,804792,393357,64650,98654,85,0,0,11402,104221,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68729
3,10,1922,205,3098,1158,137,175,44377,22276,1138,651,6,0,117,0,7445,0,0,415,0,0,149,0,18,0,0,0,534,0,0,0,0,0,0,0,0,0,1897,0,3599,777,0,31,281875,0,0,0,6,0,87,0,0,0,0,15,148,12,389,139,34,15,1018,258440,187,330,0,0,0,0,0,0,0,13375,232629,20989,730062,245923,14198,18070,823771,403364,66896,99926,87,0,0,11402,106060,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68754
4,10,2001,208,3105,1164,137,173,45158,21708,1157,639,6,0,121,0,7445,0,0,424,0,0,154,0,18,0,0,0,548,0,0,0,0,0,0,0,0,0,1976,0,3627,782,0,32,287686,0,0,0,6,0,91,0,0,0,0,15,153,13,405,148,34,18,1156,263900,188,336,0,0,0,0,0,0,0,13535,242311,22021,744197,251025,14464,18475,843118,413281,69136,101173,91,0,0,11402,107879,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68972
5,10,2071,217,3111,1174,137,173,46187,21407,1171,630,6,0,122,0,7445,0,0,429,0,0,154,0,18,0,0,0,565,0,0,0,0,0,0,0,0,0,2057,0,3669,783,0,32,293840,0,0,0,6,0,92,0,0,0,0,15,160,13,426,154,34,18,1297,269185,195,341,0,0,0,0,0,0,0,13645,251680,22877,757583,256031,14755,18851,862747,422797,71447,102431,92,0,0,11402,109735,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69705
6,8,2136,224,3119,1182,136,173,44899,23466,1187,617,6,0,124,0,7445,0,0,437,0,0,157,0,19,0,0,0,576,0,0,0,0,0,0,0,0,0,2126,0,3699,784,0,33,299991,0,0,0,6,0,94,0,0,0,0,15,167,13,435,163,36,19,1450,274412,200,344,0,0,0,0,0,0,0,13827,260861,23598,771072,260535,15041,19225,883053,432309,73833,103668,94,0,0,11402,111598,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70478
7,11,2183,230,3114,1193,136,173,45495,23132,1204,600,6,0,125,0,7445,0,0,450,0,0,163,0,19,0,0,0,585,0,0,0,0,0,0,0,0,0,2175,0,3715,787,0,33,306396,0,0,0,6,0,95,0,0,0,0,15,173,13,446,171,36,19,1611,280394,206,347,0,0,0,0,0,0,0,14005,270728,24389,784564,265173,15336,19615,902945,442763,76212,104817,95,0,0,11402,113426,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70740
8,12,2250,233,3135,1207,134,171,44703,24188,1216,594,6,0,127,0,7445,0,0,457,0,0,168,0,19,0,0,0,598,0,0,0,0,0,0,0,0,0,2250,0,3766,788,0,33,312406,0,0,0,6,0,97,0,0,0,0,16,183,13,461,178,38,21,1711,286040,211,349,0,0,0,0,0,0,0,14167,280169,25273,797764,269919,15610,19992,923092,453017,78595,106011,97,0,0,11402,115288,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71006
9,11,2319,239,3129,1226,133,169,45569,23711,1216,591,6,0,129,0,7445,0,0,464,0,0,171,0,19,0,0,0,607,0,0,0,0,0,0,0,0,0,2330,0,3792,794,0,33,318916,0,0,0,6,0,99,0,0,0,0,16,193,16,477,184,39,23,1809,292063,221,351,0,0,0,0,0,0,0,14283,289743,26204,810357,274686,15876,20389,943160,463819,81058,107152,99,0,0,11402,117094,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71389
