agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,25,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,2,20,22,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,3,20,22,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,4,21,22,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,5,22,24,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,6,20,23,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,7,21,23,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,8,20,25,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,9,21,24,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,10,19,24,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,11,20,23,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,12,19,24,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,13,21,24,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,14,21,26,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,15,19,27,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,16,21,24,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,17,19,25,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,18,20,23,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,19,20,26,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,20,20,25,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,21,21,24,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,22,19,26,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,23,18,26,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,24,21,26,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,25,20,28,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,26,21,27,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,27,18,26,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,28,19,25,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,29,21,27,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,30,22,30,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,31,23,21,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,32,21,21,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,33,23,20,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,34,23,22,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,35,21,20,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,36,21,22,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,37,23,23,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,38,19,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,39,21,22,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,40,22,24,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,41,21,23,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,42,21,22,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,43,23,22,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,44,22,24,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,45,23,24,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,46,22,24,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,47,20,24,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,48,22,25,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,49,22,27,27,PROGENITOR,divideCD=2;divideFlag=1
