step,O2,IFN,IL2,IL10,TGFB,CCL2,ARGI,NO,IL12,VEGFA
0,0.0,1.04427e-08,0.0,3.20056e-05,0.000118663,0.00011341,4.61861e-05,8.84483e-06,2.28964e-08,3.24595e-05
1,7.91788e-06,1.1277e-08,0.000120153,3.19978e-05,0.0,0.0,4.6188e-05,8.90071e-06,2.43871e-08,3.24676e-05
2,0.0,1.20466e-08,0.0,3.19922e-05,0.00011466,0.000113724,4.61867e-05,8.95529e-06,2.57229e-08,3.24792e-05
3,7.9177e-06,1.27462e-08,0.000116747,3.19866e-05,0.0,0.0,4.61879e-05,9.00861e-06,2.69114e-08,3.24784e-05
4,0.0,1.33936e-08,0.0,3.19757e-05,0.00011301,0.00011571,4.61871e-05,9.0607e-06,2.79625e-08,3.25734e-05
5,7.91754e-06,1.40062e-08,0.000114899,3.19571e-05,0.0,0.0,4.61878e-05,9.11159e-06,2.88872e-08,3.25432e-05
6,0.0,1.42049e-08,0.0,3.19468e-05,0.000113193,0.000115088,4.61873e-05,9.1613e-06,2.91688e-08,3.2546e-05
7,7.91744e-06,1.43984e-08,0.000113153,3.19407e-05,0.0,0.0,4.61888e-05,9.2091e-06,2.94257e-08,3.2591e-05
8,0.0,1.45875e-08,0.0,3.19369e-05,0.000111347,0.000115859,4.61852e-05,9.2546e-06,2.96675e-08,3.26051e-05
9,7.91741e-06,1.47725e-08,0.000112378,3.19278e-05,0.0,0.0,4.61879e-05,9.29843e-06,2.98975e-08,3.26065e-05
10,0.0,1.49533e-08,0.0,3.1917e-05,0.000111228,0.000116887,4.61859e-05,9.34098e-06,3.01171e-08,3.26532e-05
11,7.91723e-06,1.51303e-08,0.000109697,3.19084e-05,0.0,0.0,4.61877e-05,9.38246e-06,3.03272e-08,3.26479e-05
12,0.0,1.53035e-08,0.0,3.19036e-05,0.000110372,0.000117026,4.61865e-05,9.42296e-06,3.05285e-08,3.26717e-05
13,7.91702e-06,1.54744e-08,0.000107345,3.19013e-05,0.0,0.0,4.61876e-05,9.4625e-06,3.07225e-08,3.26574e-05
14,0.0,1.56427e-08,0.0,3.19002e-05,0.000106854,0.00011845,4.61869e-05,9.50113e-06,3.09123e-08,3.27604e-05
15,7.917e-06,1.58125e-08,0.000107137,3.18993e-05,0.0,0.0,4.61876e-05,9.52423e-06,3.11022e-08,3.27487e-05
16,0.0,1.59894e-08,0.0,3.18983e-05,0.000104316,0.000117957,4.61874e-05,9.5537e-06,3.12967e-08,3.27436e-05
17,7.91689e-06,1.61755e-08,0.000100725,3.1897e-05,0.0,0.0,4.61836e-05,9.58524e-06,3.14985e-08,3.27794e-05
18,0.0,1.63689e-08,0.0,3.18945e-05,0.000102706,0.000119,4.61856e-05,9.61733e-06,3.17082e-08,3.27983e-05
19,7.91671e-06,1.65694e-08,9.86912e-05,3.189e-05,0.0,0.0,4.61828e-05,9.64934e-06,3.19236e-08,3.28324e-05
20,0.0,1.67737e-08,0.0,3.18863e-05,0.000100831,0.000120429,4.61838e-05,9.6807e-06,3.21395e-08,3.2879e-05
21,7.91667e-06,1.69764e-08,9.54635e-05,3.16902e-05,0.0,0.0,4.61818e-05,9.71113e-06,3.23486e-08,3.28616e-05
22,0.0,1.71716e-08,0.0,3.15672e-05,0.000101918,0.000121584,4.61824e-05,9.74067e-06,3.25423e-08,3.2897e-05
23,7.91645e-06,1.7355e-08,9.46008e-05,3.15255e-05,0.0,0.0,4.61819e-05,9.76944e-06,3.27115e-08,3.29333e-05
24,0.0,1.75215e-08,0.0,3.15125e-05,0.000102094,0.000122448,4.61786e-05,9.79749e-06,3.28472e-08,3.29646e-05
25,7.91629e-06,1.76666e-08,9.60357e-05,3.15084e-05,0.0,0.0,4.61814e-05,9.82487e-06,3.29411e-08,3.29593e-05
26,0.0,1.77835e-08,0.0,3.15047e-05,0.000101047,0.000123433,4.6179e-05,9.85161e-06,3.29863e-08,3.30136e-05
27,7.91619e-06,1.787e-08,9.33206e-05,3.14941e-05,0.0,0.0,4.61806e-05,9.87773e-06,3.29772e-08,3.30383e-05
28,0.0,1.79301e-08,0.0,3.14878e-05,9.7327e-05,0.000123642,4.61791e-05,9.90325e-06,3.29098e-08,3.3045e-05
29,7.91614e-06,1.79571e-08,9.15963e-05,3.14851e-05,0.0,0.0,4.61801e-05,9.92817e-06,3.27816e-08,3.30783e-05
30,0.0,1.78532e-08,0.0,3.14356e-05,9.43245e-05,0.000124851,4.61791e-05,9.95253e-06,3.21863e-08,3.31021e-05
31,7.91598e-06,2.01661e-08,8.82595e-05,3.13867e-05,0.0,0.0,4.61798e-05,9.97628e-06,3.23658e-08,3.31019e-05
32,0.0,3.73138e-08,0.0,3.13685e-05,9.82072e-05,0.000125629,4.61801e-05,9.99868e-06,3.44152e-08,3.31574e-05
33,7.91589e-06,7.37948e-08,8.91933e-05,3.13629e-05,0.0,0.0,4.61769e-05,1.00197e-05,4.51263e-08,3.31819e-05
34,0.0,1.23957e-07,0.0,3.1361e-05,9.64714e-05,0.000125924,4.61798e-05,1.00395e-05,5.43195e-08,3.31887e-05
35,7.91567e-06,1.80441e-07,8.77632e-05,3.13517e-05,0.0,0.0,4.61777e-05,1.00578e-05,9.40225e-08,3.32224e-05
36,0.0,2.37549e-07,0.0,3.13291e-05,9.46422e-05,0.000126913,4.61795e-05,1.00742e-05,1.27074e-07,3.32187e-05
37,7.91552e-06,2.91664e-07,8.48665e-05,3.1295e-05,0.0,0.0,4.6178e-05,1.00889e-05,1.44851e-07,3.32519e-05
38,0.0,3.41286e-07,0.0,3.12766e-05,9.41806e-05,0.000127671,4.61793e-05,1.01024e-05,1.81426e-07,3.32627e-05
39,7.91554e-06,3.85035e-07,8.31904e-05,3.12585e-05,0.0,0.0,4.61783e-05,1.01151e-05,2.17808e-07,3.32832e-05
40,0.0,4.22844e-07,0.0,3.08614e-05,9.28746e-05,0.000130208,4.61792e-05,1.01273e-05,2.5177e-07,3.33507e-05
41,7.91534e-06,4.54768e-07,8.1417e-05,3.06944e-05,0.0,0.0,4.61785e-05,1.01388e-05,2.67439e-07,3.3389e-05
42,0.0,4.81388e-07,0.0,3.06453e-05,9.56129e-05,0.000131201,4.61791e-05,1.01497e-05,2.94777e-07,3.34198e-05
43,7.91524e-06,5.03281e-07,8.54829e-05,3.06282e-05,0.0,0.0,4.61787e-05,1.016e-05,3.06715e-07,3.33932e-05
44,0.0,5.21577e-07,0.0,3.06187e-05,9.70846e-05,0.000131436,4.61791e-05,1.01697e-05,3.37076e-07,3.34308e-05
45,7.91509e-06,5.36605e-07,8.19331e-05,3.06123e-05,0.0,0.0,4.61788e-05,1.01791e-05,3.54537e-07,3.34262e-05
46,0.0,5.48358e-07,0.0,3.06058e-05,9.16191e-05,0.000131375,4.61791e-05,1.01882e-05,3.63097e-07,3.34296e-05
47,7.91506e-06,5.58614e-07,7.99883e-05,3.05915e-05,0.0,0.0,4.61789e-05,1.01968e-05,3.80023e-07,3.34603e-05
48,0.0,5.6761e-07,0.0,3.05821e-05,9.18877e-05,0.000131773,4.61791e-05,1.02046e-05,3.96418e-07,3.34647e-05
49,7.91501e-06,5.74171e-07,7.9493e-05,3.05778e-05,0.0,0.0,4.6179e-05,1.02117e-05,4.10859e-07,3.35294e-05
50,0.0,5.78634e-07,0.0,3.05759e-05,9.35063e-05,0.000132034,4.61791e-05,1.02183e-05,4.22266e-07,3.34891e-05
51,7.91489e-06,5.82869e-07,7.87857e-05,3.06223e-05,0.0,0.0,4.6179e-05,1.02242e-05,4.30036e-07,3.34967e-05
52,0.0,5.82424e-07,0.0,3.06336e-05,9.47728e-05,0.000134527,4.61791e-05,1.02297e-05,4.32859e-07,3.35604e-05
53,7.91474e-06,5.88788e-07,8.26196e-05,3.06159e-05,0.0,0.0,4.6179e-05,1.0234e-05,4.37005e-07,3.36053e-05
54,0.0,5.91011e-07,0.0,3.06014e-05,9.35048e-05,0.000135301,4.61791e-05,1.02374e-05,4.3813e-07,3.3628e-05
55,7.91456e-06,5.93386e-07,8.21167e-05,3.05916e-05,0.0,0.0,4.6179e-05,1.024e-05,4.38938e-07,3.36235e-05
56,0.0,5.93941e-07,0.0,3.05741e-05,9.30987e-05,0.000136491,4.61791e-05,1.02422e-05,4.42855e-07,3.36735e-05
57,7.91454e-06,5.93872e-07,7.95234e-05,3.05624e-05,0.0,0.0,4.6179e-05,1.02442e-05,4.46638e-07,3.36792e-05
58,0.0,5.9269e-07,8.21114e-07,3.05542e-05,9.08946e-05,0.000136618,4.6179e-05,1.02426e-05,4.48954e-07,3.36818e-05
59,7.91448e-06,5.9242e-07,7.87924e-05,3.05469e-05,0.0,0.0,4.6179e-05,1.02395e-05,4.53961e-07,3.37264e-05
